id,country,city,title,logo,region,location
757,United States,Pittsburgh,University of Pittsburgh,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,North America,0101000020E61000001A51DA1B7CFD53C070CE88D2DE384440
758,United States,Tempe,Arizona State University,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg,North America,0101000020E6100000BADA8AFD65FB5BC04A7B832F4CB64040
759,United States,Waltham,Brandeis University,https://www.topuniversities.com/sites/default/files/brandeis-university_66_small.jpg,North America,0101000020E6100000B8AF03E78CD051C074B515FBCB2E4540
760,United States,Philadelphia,Temple University,https://www.topuniversities.com/sites/default/files/temple-university_592560cf2aeae70239af4cdd_small.jpg,North America,0101000020E6100000CBA145B6F3C952C0AF25E4839EFD4340
761,United States,College Station,Texas A&M University,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,North America,0101000020E6100000A8C64B37891558C0CAC342AD699E3E40
762,United States,Tucson,The University of Arizona,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg,North America,0101000020E610000005A3923A01BD5BC0A1F831E6AE1D4040
763,United States,Houston,University of Houston,https://www.topuniversities.com/sites/default/files/university-of-houston_270_small.jpg,North America,0101000020E61000003D2CD49AE6D557C0F163CC5D4BB83D40
764,United States,Binghamton,Binghamton University SUNY,https://www.topuniversities.com/sites/default/files/binghamton-university-suny_592560cf2aeae70239af51d4_small.jpg,North America,0101000020E6100000355EBA490CFE52C096218E75710B4540
765,United States,Philadelphia,Drexel University,https://www.topuniversities.com/sites/default/files/drexel-university_163_small.jpg,North America,0101000020E6100000A301BC0512CC52C06E3480B740FA4340
766,United States,Raleigh,North Carolina State University,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg,North America,0101000020E61000008126C286A7AB53C0EA95B20C71E44140
767,United States,Troy,Rensselaer Polytechnic Institute,https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg,North America,0101000020E61000008195438B6C6B52C0764F1E166A5D4540
768,United States,Storrs,University of Connecticut,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg,North America,0101000020E6100000151DC9E53F1052C0567DAEB662E74440
769,United States,Athens,The University of Georgia,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_small.jpg,North America,0101000020E6100000F931E6AE25D854C0D34D621058F94040
770,United States,Blacksburg,Virginia Polytechnic Institute and State University,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,North America,0101000020E6100000174850FC181B54C0053411363C9D4240
771,United States,Albuquerque,University of New Mexico,https://www.topuniversities.com/sites/default/files/university-of-new-mexico_592560cf2aeae70239af4c41_small.jpg,North America,0101000020E6100000083D9B559FA75AC026E4839ECD8A4140
772,United States,Bloomington,Indiana University Bloomington,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_small.jpg,North America,0101000020E61000005227A089B0A155C0B003E78C28954340
773,United States,New Orleans,Tulane University,https://www.topuniversities.com/sites/default/files/tulane-university_631_small.jpg,North America,0101000020E6100000D656EC2FBB8756C08D28ED0DBEF03D40
774,United States,Boulder,University of Colorado Boulder,https://www.topuniversities.com/sites/default/files/university-of-colorado-boulder_137_small.jpg,North America,0101000020E610000069006F8104515AC08CB96B09F9004440
775,United States,Tallahassee,Florida State University,https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg,North America,0101000020E6100000C976BE9F1A1355C0371AC05B20713E40
776,United States,Tampa,University of South Florida,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-90-48x48.jpg,North America,0101000020E61000001FF46C567D9A54C0744694F6060F3C40
777,United States,Chicago,Illinois Institute of Technology,https://www.topuniversities.com/sites/default/files/230109044608pm870090ILTECH-red-stacked-logo-48x48.jpg,North America,0101000020E6100000E3A59BC420E855C017B7D100DEEA4440
778,United States,Riverside,University of California, Riverside",https://www.topuniversities.com/sites/default/files/230328051801pm377649UCR-200x200-48x48.jpg,North America,0101000020E610000054742497FF545DC0BF0E9C33A2FC4040
779,United States,Santa Cruz,University of California, Santa Cruz",https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg,North America,0101000020E6100000E4141DC9E5835EC090A0F831E67E4240
780,United States,Washington D.C.,Howard University,https://www.topuniversities.com/sites/default/files/howard-university_592560cf2aeae70239af4dc1_small.jpg,North America,0101000020E6100000B7627FD93D4153C075029A081B764340
781,United States,Richardson,University of Texas Dallas,https://www.topuniversities.com/sites/default/files/university-of-texas-dallas_592560cf2aeae70239af5355_small.jpg,North America,0101000020E6100000B22E6EA3013058C0CA32C4B12E7E4040
782,United States,Santa Clara,Santa Clara University,https://www.topuniversities.com/sites/default/files/santa-clara-university_592560df9988f300e2320a24_small.jpg,North America,0101000020E61000006ABC7493187C5EC03F575BB1BFAC4240
783,United States,Winston-Salem,Wake Forest University,https://www.topuniversities.com/sites/default/files/wake-forest-university_661_small.jpg,North America,0101000020E61000000BB5A679C71154C0705F07CE19114240
784,United States,Baltimore,University of Maryland, Baltimore County",https://www.topuniversities.com/sites/default/files/university-of-maryland-baltimore-county_592560cf2aeae70239af52af_small.jpg,North America,0101000020E61000007DAEB6627F2D53C01B0DE02D90A04340
785,United States,Salt Lake City,University of Utah,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg,North America,0101000020E61000008BFD65F7E4F55BC0EE5A423EE8614440
786,United States,Fairfax,George Mason University,https://www.topuniversities.com/sites/default/files/george-mason-university_592560cf2aeae70239af518c_small.jpg,North America,0101000020E610000096B20C71AC5353C0431CEBE2366A4340
788,United States,Boston,University of Massachusetts Boston,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-boston_592560cf2aeae70239af566b_small.jpg,North America,0101000020E61000000A68226C78C251C055C1A8A44E284540
789,United States,Lawrence,University of Kansas,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg,North America,0101000020E6100000E4839ECDAACF57C009F9A067B37A4340
790,United States,Albany,University at Albany SUNY,https://www.topuniversities.com/sites/default/files/university-at-albany-suny_1835_small.jpg,North America,0101000020E6100000713D0AD7A37452C0AB3E575BB1574540
791,United States,Corvallis,Oregon State University,https://www.topuniversities.com/sites/default/files/oregon-state-university_592560cf2aeae70239af4dc3_small.jpg,North America,0101000020E610000027A089B0E1D15EC00EBE30992A484640
794,United States,Newark,Rutgers University–Newark,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg,North America,0101000020E61000002575029A088B52C074B515FBCB5E4440
797,United States,Iowa City,University of Iowa,https://www.topuniversities.com/sites/default/files/university-of-iowa_592560cf2aeae70239af4baa_small.jpg,North America,0101000020E6100000B515FBCBEEE156C05BB1BFEC9ED44440
801,United States,Hoboken,Stevens Institute of Technology,https://www.topuniversities.com/sites/default/files/stevens-institute-of-technology_592560cf2aeae70239af4db6_small.jpg,North America,0101000020E61000001283C0CAA18152C02C6519E2585F4440
804,United States,Lexington,University of Kentucky,https://www.topuniversities.com/sites/default/files/university-of-kentucky_316_small.jpg,North America,0101000020E6100000151DC9E53F2055C0F9A067B3EA034340
806,United States,Worcester,Worcester Polytechnic Institute,https://www.topuniversities.com/sites/default/files/worcester-polytechnic-institute_592560cf2aeae70239af4dc0_small.jpg,North America,0101000020E6100000F2B0506B9AF351C0A5BDC11726234540
809,United States,Atlanta,Georgia State University,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_small.jpg,North America,0101000020E610000086C954C1A81855C00E4FAF9465E04040
819,United States,New York City,Fordham University,https://www.topuniversities.com/sites/default/files/fordham-university_814_small.jpg,North America,0101000020E610000086C954C1A87852C083C0CAA1456E4440
820,United States,Chicago,Loyola University Chicago,https://www.topuniversities.com/sites/default/files/loyola-university-chicago_370_small.jpg,North America,0101000020E6100000849ECDAACFE955C0F54A598638F64440
821,United States,San Francisco,San Francisco State University,https://www.topuniversities.com/sites/default/files/san-francisco-state-university_592560cf2aeae70239af5354_small.jpg,North America,0101000020E61000006D567DAEB69E5EC04D840D4FAFDC4240
822,United States,Seattle,Seattle University,https://www.topuniversities.com/sites/default/files/seattle-university_592560e09988f300e2320add_small.jpg,North America,0101000020E6100000A167B3EA73955EC0E7FBA9F1D2CD4740
823,United States,Dallas,Southern Methodist University,https://www.topuniversities.com/sites/default/files/southern-methodist-university_592560cf2aeae70239af4daa_small.jpg,North America,0101000020E6100000431CEBE2363258C0EBE2361AC06B4040
826,United States,Detroit,Wayne State University,https://www.topuniversities.com/sites/default/files/wayne-state-university_592560cf2aeae70239af51d1_small.jpg,North America,0101000020E6100000DCD7817346C454C05917B7D1002E4540
829,United States,Clemson,Clemson University,https://www.topuniversities.com/sites/default/files/clemson-university_806_small.jpg,North America,0101000020E6100000CB10C7BAB8B554C09FCDAACFD5564140
830,United States,Fort Collins,Colorado State University,https://www.topuniversities.com/sites/default/files/colorado-state-university_136_small.jpg,North America,0101000020E6100000A8C64B3789455AC061C3D32B65494440
